Year,Vehicle_Type,Vehicle_Class,Category,Registration_Count,YoY_Growth
2023,4W,OMNI BUS (PRIVATE USE),Category_4,44,388.8888889
2024,4W,OMNI BUS (PRIVATE USE),Category_4,0,-100
2025,4W,OMNI BUS (PRIVATE USE),Category_4,31,inf
2022,4W,OMNI BUS (PRIVATE USE),Category_5,3261,
2023,4W,OMNI BUS (PRIVATE USE),Category_5,6123,87.76448942
2024,4W,OMNI BUS (PRIVATE USE),Category_5,7146,16.70749633
2025,4W,OMNI BUS (PRIVATE USE),Category_5,5441,-23.85950182
2022,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_1,0,
2023,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_1,0,
2024,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_1,0,
2025,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_1,0,
2022,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_2,686,
2023,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_2,1956,185.1311953
2024,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_2,1720,-12.06543967
2025,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_2,1060,-38.37209302
2022,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_3,14,
2023,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_3,14,0
2024,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_3,19,35.71428571
2025,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_3,12,-36.84210526
2022,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_4,10,
2023,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_4,16,60
2024,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_4,8,-50
2025,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_4,22,175
2022,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_5,710,
2023,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_5,1986,179.7183099
2024,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_5,1747,-12.03423968
2025,4W,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),Category_5,1094,-37.37836291
2022,4W,QUADRICYCLE (PRIVATE),Category_1,0,
2023,4W,QUADRICYCLE (PRIVATE),Category_1,0,
2024,4W,QUADRICYCLE (PRIVATE),Category_1,0,
2025,4W,QUADRICYCLE (PRIVATE),Category_1,0,
2022,4W,QUADRICYCLE (PRIVATE),Category_2,55,
2023,4W,QUADRICYCLE (PRIVATE),Category_2,37,-32.72727273
2024,4W,QUADRICYCLE (PRIVATE),Category_2,40,8.108108108
2025,4W,QUADRICYCLE (PRIVATE),Category_2,6,-85
2022,4W,QUADRICYCLE (PRIVATE),Category_3,0,
2023,4W,QUADRICYCLE (PRIVATE),Category_3,0,
2024,4W,QUADRICYCLE (PRIVATE),Category_3,0,
2025,4W,QUADRICYCLE (PRIVATE),Category_3,0,
2022,4W,QUADRICYCLE (PRIVATE),Category_4,0,
2023,4W,QUADRICYCLE (PRIVATE),Category_4,0,
2024,4W,QUADRICYCLE (PRIVATE),Category_4,0,
2025,4W,QUADRICYCLE (PRIVATE),Category_4,0,
2022,4W,QUADRICYCLE (PRIVATE),Category_5,55,
2023,4W,QUADRICYCLE (PRIVATE),Category_5,37,-32.72727273
2024,4W,QUADRICYCLE (PRIVATE),Category_5,40,8.108108108
2025,4W,QUADRICYCLE (PRIVATE),Category_5,6,-85
2022,3W,THREE WHEELER (GOODS),Category_1,0,
2023,3W,THREE WHEELER (GOODS),Category_1,0,
2024,3W,THREE WHEELER (GOODS),Category_1,0,
2025,3W,THREE WHEELER (GOODS),Category_1,0,
2022,3W,THREE WHEELER (GOODS),Category_2,89791,
2023,3W,THREE WHEELER (GOODS),Category_2,114517,27.53728102
2024,3W,THREE WHEELER (GOODS),Category_2,124979,9.135761503
2025,3W,THREE WHEELER (GOODS),Category_2,75873,-39.29140096
2022,3W,THREE WHEELER (GOODS),Category_3,89791,
2023,3W,THREE WHEELER (GOODS),Category_3,114517,27.53728102
2024,3W,THREE WHEELER (GOODS),Category_3,124979,9.135761503
2025,3W,THREE WHEELER (GOODS),Category_3,75873,-39.29140096
2022,3W,THREE WHEELER (PASSENGER),Category_1,13144,
2023,3W,THREE WHEELER (PASSENGER),Category_1,6313,-51.97048083
2024,3W,THREE WHEELER (PASSENGER),Category_1,0,-100
2025,3W,THREE WHEELER (PASSENGER),Category_1,0,
2022,3W,THREE WHEELER (PASSENGER),Category_2,254856,
2023,3W,THREE WHEELER (PASSENGER),Category_2,474606,86.22516244
2024,3W,THREE WHEELER (PASSENGER),Category_2,555199,16.98103269
2025,3W,THREE WHEELER (PASSENGER),Category_2,340101,-38.74250494
2022,3W,THREE WHEELER (PASSENGER),Category_3,268000,
2023,3W,THREE WHEELER (PASSENGER),Category_3,480919,79.44738806
2024,3W,THREE WHEELER (PASSENGER),Category_3,555199,15.44542844
2025,3W,THREE WHEELER (PASSENGER),Category_3,340101,-38.74250494
2022,3W,THREE WHEELER (PERSONAL),Category_1,671,
2023,3W,THREE WHEELER (PERSONAL),Category_1,922,37.40685544
2024,3W,THREE WHEELER (PERSONAL),Category_1,976,5.856832972
2025,3W,THREE WHEELER (PERSONAL),Category_1,726,-25.6147541
2022,3W,THREE WHEELER (PERSONAL),Category_2,0,
2023,3W,THREE WHEELER (PERSONAL),Category_2,0,
2024,3W,THREE WHEELER (PERSONAL),Category_2,0,
2025,3W,THREE WHEELER (PERSONAL),Category_2,0,
2022,3W,THREE WHEELER (PERSONAL),Category_3,671,
2023,3W,THREE WHEELER (PERSONAL),Category_3,922,37.40685544
2024,3W,THREE WHEELER (PERSONAL),Category_3,976,5.856832972
2025,3W,THREE WHEELER (PERSONAL),Category_3,726,-25.6147541
