Year,Quarter,Vehicle Category,Count,QoQ_Growth (%)
2022,Q1,THREE WHEELER (INVALID CARRIAGE),1,
2022,Q2,THREE WHEELER (INVALID CARRIAGE),0,-100.0
2022,Q3,THREE WHEELER (INVALID CARRIAGE),0,
2022,Q4,THREE WHEELER (INVALID CARRIAGE),0,
2024,Q1,THREE WHEELER (INVALID CARRIAGE),1,inf
2024,Q2,THREE WHEELER (INVALID CARRIAGE),4,300.0
2024,Q3,THREE WHEELER (INVALID CARRIAGE),6,50.0
2024,Q4,THREE WHEELER (INVALID CARRIAGE),3,-50.0
2025,Q1,THREE WHEELER (INVALID CARRIAGE),2,-33.33
2025,Q2,THREE WHEELER (INVALID CARRIAGE),1,-50.0
2022,Q1,THREE WHEELER(NT),1650,
2022,Q2,THREE WHEELER(NT),1980,20.0
2022,Q3,THREE WHEELER(NT),3854,94.65
2022,Q4,THREE WHEELER(NT),6332,64.3
2023,Q1,THREE WHEELER(NT),6103,-3.62
2023,Q2,THREE WHEELER(NT),639,-89.53
2023,Q3,THREE WHEELER(NT),272,-57.43
2023,Q4,THREE WHEELER(NT),246,-9.56
2024,Q1,THREE WHEELER(NT),218,-11.38
2024,Q2,THREE WHEELER(NT),235,7.8
2024,Q3,THREE WHEELER(NT),247,5.11
2024,Q4,THREE WHEELER(NT),276,11.74
2025,Q1,THREE WHEELER(NT),240,-13.04
2025,Q2,THREE WHEELER(NT),376,56.67
2022,Q1,THREE WHEELER(T),135907,
2022,Q2,THREE WHEELER(T),137791,1.39
2022,Q3,THREE WHEELER(T),179952,30.6
2022,Q4,THREE WHEELER(T),216521,20.32
2023,Q1,THREE WHEELER(T),232890,7.56
2023,Q2,THREE WHEELER(T),245175,5.28
2023,Q3,THREE WHEELER(T),307598,25.46
2023,Q4,THREE WHEELER(T),312524,1.6
2024,Q1,THREE WHEELER(T),301310,-3.59
2024,Q2,THREE WHEELER(T),272493,-9.56
2024,Q3,THREE WHEELER(T),322283,18.27
2024,Q4,THREE WHEELER(T),324792,0.78
2025,Q1,THREE WHEELER(T),300355,-7.52
2025,Q2,THREE WHEELER(T),304480,1.37
2022,Q1,TWO WHEELER (INVALID CARRIAGE),3888,
2022,Q2,TWO WHEELER (INVALID CARRIAGE),4844,24.59
2022,Q3,TWO WHEELER (INVALID CARRIAGE),3064,-36.75
2022,Q4,TWO WHEELER (INVALID CARRIAGE),1924,-37.21
2023,Q1,TWO WHEELER (INVALID CARRIAGE),6295,227.18
2023,Q2,TWO WHEELER (INVALID CARRIAGE),5905,-6.2
2023,Q3,TWO WHEELER (INVALID CARRIAGE),6944,17.6
